Title,Date Info,Location,Image,Primary Event Type,Date,Day of Week,Start Time,End Time
The Art of Collecting: Gifts from the Luther W. Brady Estate,"Wed, Oct 11, 2023,",Luther W. Brady Art Gallery,https://localist-images.azureedge.net/photos/44341505834705/card/b9f183a9c3d0df33dc15e5a15eb2e8a567ae99fd.jpg,Exhibition,2023-10-11,Wed,,
next NEXT_,"Wed, Oct 11, 2023,","Flagg Building, Student Lounge & Gallery 7",https://localist-images.azureedge.net/photos/44145241617027/card/25967ccb4ab3fc22625fd6aab4467f5e3a727c70.jpg,Arts & Culture,2023-10-11,Wed,,
Alumni in Finance & Real Estate: Industry Networking Breakfast (NYC),"Wed, Oct 11, 2023, 8:30am to 9:30am",,https://localist-images.azureedge.net/photos/42241821362097/card/2df672dda2dbd1ddc52531f98842065734b9455a.jpg,Alumni,2023-10-11,Wed,8:30am,9:30am
GWSB MS in Information Systems Technology  Information Session & Webinar,"Wed, Oct 11, 2023, 9am to 9:30am",Virtual Event,https://localist-images.azureedge.net/photos/44375430227270/card/83089f8cfffb5202525364b202ec18e0dfc9a780.jpg,Admissions,2023-10-11,Wed,9am,9:30am
Anne Lindberg: what color is divine light?,"Wed, Oct 11, 2023, 10am to 5pm",The George Washington Museum and the Textile Museum,https://localist-images.azureedge.net/photos/42118325116114/card/4da031cb790aac350a55b587ee9d90ff88c130c7.jpg,Arts & Culture,2023-10-11,Wed,10am,5pm
Classical Washington,"Wed, Oct 11, 2023, 10am to 5pm",The George Washington Museum and the Textile Museum,https://localist-images.azureedge.net/photos/43535881455949/card/0f99f12983022726298d8ec3c46b4bda8ffa7744.jpg,Arts & Culture,2023-10-11,Wed,10am,5pm
Handstitched Worlds: The Cartography of Quilts,"Wed, Oct 11, 2023, 10am to 5pm",The George Washington Museum and the Textile Museum,https://localist-images.azureedge.net/photos/44435982865361/card/6884bb6714f5645aba633df951757d2deec6588d.jpg,Arts & Culture,2023-10-11,Wed,10am,5pm
The New Naval and Military Map of the United States,"Wed, Oct 11, 2023, 10am to 5pm",The George Washington Museum and the Textile Museum,https://localist-images.azureedge.net/photos/43570487835771/card/fdeec78cbfcf7187fe87d06c1ae29bfbb2bfe5de.jpg,Arts & Culture,2023-10-11,Wed,10am,5pm
From Spark to Impact: Promoting and Enabling Research with the Libraries and Academic Innovation Team,"Wed, Oct 11, 2023, 11am to 12pm","Gelman Library, Room 608",https://localist-images.azureedge.net/photos/44378798413071/card/bbc500a9950cde458ee04eba98277d3fdad34642.jpg,Research,2023-10-11,Wed,11am,12pm
GWSB MS in Project Management Information Session & Webinar,"Wed, Oct 11, 2023, 12pm to 12:30pm",Virtual Event,https://localist-images.azureedge.net/photos/44375907164997/card/9c762f09bd8ea05d90f7f8e87889cf3ff782c454.jpg,Admissions,2023-10-11,Wed,12pm,12:30pm
International Education (Master's) - Virtual Information Session,"Wed, Oct 11, 2023, 12pm to 1pm",Virtual Event,https://localist-images.azureedge.net/photos/43669583116057/card/45daaa0a4147b6701146c4b7ac4cab8f190f3919.jpg,Admissions,2023-10-11,Wed,12pm,1pm
Bloomberg Industry Group Careers Panel,"Wed, Oct 11, 2023, 12:30pm to 2pm","Law School, Tasher Great Room",https://localist-images.azureedge.net/photos/44315096189754/card/97406acb330d12f9f5198c7986ba644bcef9c6ca.jpg,Career & Professional Development,2023-10-11,Wed,12:30pm,2pm
From Spark to Impact: Software Systems for Researchers with Proposals and Awards,"Wed, Oct 11, 2023, 1pm to 2pm","Rome Hall (Academic Center), Room 206",https://localist-images.azureedge.net/photos/44378798413071/card/bbc500a9950cde458ee04eba98277d3fdad34642.jpg,Research,2023-10-11,Wed,1pm,2pm
GW Collection / Corcoran Faculty Selection,"Wed, Oct 11, 2023, 1pm to 5pm","Flagg Building, Gallery 6",https://localist-images.azureedge.net/photos/44341301567849/card/a2e4a13aac50d85135e9e26f60299dfc0964d13b.jpg,Exhibition,2023-10-11,Wed,1pm,5pm
Global Reflections: A Virtual Group Processing Space,"Wed, Oct 11, 2023, 1pm to 2:30pm",Online,https://localist-images.azureedge.net/photos/44514486635712/card/917664f9b499aafd3446aec08a04ff842c21977c.jpg,Student Life,2023-10-11,Wed,1pm,2:30pm
Too Good to Be True? Beware of Job Offer Scams!,"Wed, Oct 11, 2023, 2pm",Virtual Event,https://localist-images.azureedge.net/photos/44401078728662/card/7a4da81f1e782060a54f95b084ff7230af026160.jpg,Info Session,2023-10-11,Wed,2pm,
Dr. Sharon Murphy Book Talk,"Wed, Oct 11, 2023, 2:30pm to 4pm",,https://localist-images.azureedge.net/photos/44447575267858/card/0a3250bd3f07a67c2c4b02bf39dfe7ee968cbc8c.jpg,,2023-10-11,Wed,2:30pm,4pm
"Macro-International Seminar: Tony Zhang, Federal Reserve","Wed, Oct 11, 2023, 2:30pm to 4pm","Hall of Government, 321",https://localist-images.azureedge.net/photos/44445628790768/card/c0f27330978efda9dcdde85742df6e2f1859f9df.jpg,Academic,2023-10-11,Wed,2:30pm,4pm
Accessibility On Campus Discussion,"Wed, Oct 11, 2023, 3pm to 4pm",Online,https://localist-images.azureedge.net/photos/44505599425100/card/72013548cf584917e52c3e5e93746cd0c4b0b13b.jpg,Student Life,2023-10-11,Wed,3pm,4pm
Collaborative Reform Conference -- Effective Law Enforcement for All,"Wed, Oct 11, 2023, 3pm to 7:30am","Elliott School of International Affairs, GW University, City View Room",https://localist-images.azureedge.net/photos/44482989914087/card/b0bc18815d190ef6accbac6b9994acfd9e3c705e.jpg,Lectures & Speakers,2023-10-11,Wed,3pm,7:30am
Inequality and the Crisis of Liberal Democracy,"Wed, Oct 11, 2023, 4pm to 5pm","1957 E Street NW, 412Q",https://localist-images.azureedge.net/photos/44393839734790/card/f3ae5987934b95bbb500aa580d4585341df27902.jpg,Lectures & Speakers,2023-10-11,Wed,4pm,5pm
